name,taxid,ERR14789353,ERR14789354,ERR14789355,ERR14789356,ERR14789357,ERR14789358,ERR14789359,ERR14789360,ERR14789361,ERR14789362,ERR14789363,ERR14789364,ERR14789365,ERR14789366,ERR14789367
          Pandoravirus,2060084,0.06,0.09,,,,0.2,0.27,,,0.26,0.7,,0.69,,1.26
                Machinavirus,2169624,,0.06,,,,,0.11,,,,,,,,
                  Jwalphavirus,2169642,,0.05,0.2,0.35,,,,,1.1,,,,0.2,,
                  Ithacavirus,2169643,0.06,,,,,,,0.06,,,,,,,
                Huchismacovirus,2169662,,0.06,,,,0.06,,,,,,,,,
                Ahduovirus,2560084,,,,,,0.12,0.11,,,,,,,,
              Alcyoneusvirus,2560086,,0.07,,,,0.05,,,,0.2,,,,,
              Dismasvirus,2560122,0.14,,,,,,,,,,,,,,
              Eneladusvirus,2560128,,,,,,,,,,,0.13,,,,
              Fipvunavirus,2560132,,,,,,,,,,,0.12,,,,
              Gustavvirus,2560144,0.03,,0.21,,,,,,,,,,0.21,,
                Locarnavirus,2560169,0.03,,,,,,,,,,,,,,
                  Otagovirus,2560197,0.04,,,0.53,,,,,1.48,,,,,,
                  Phimunavirus,2560202,0.06,0.15,0.39,,,0.06,,0.09,0.75,0.87,0.19,0.23,0.41,,0.23
              Popoffvirus,2560208,0.29,1.64,2.04,1.94,0.87,0.55,1.01,0.95,2.86,1.73,1.79,1.51,2.19,0.51,0.87
                Sanovirus,2560222,0.03,0.05,,,,,0.1,,,,0.13,,,,
                Sugarlandvirus,2560233,,0.06,,0.22,,,0.08,,,,,,,,0.12
                Tulanevirus,2560244,,0.1,,,,,0.1,,,,0.1,,,0.1,0.16
                  Pettyvirus,2731671,,,,,,,,,,0.14,0.08,,,,
                Gyeongsanvirus,2731942,,,,,,,,,,,,,,0.09,
                Kalppathivirus,2731949,,,,,,,,,,,0.16,,,,
                Shenzhenvirus,2732038,,,,,,,,,,,,,,,0.11
                  Helsettvirus,2732684,,0.08,,,,,,,,0.3,0.31,,0.33,,
                  Kayfunavirus,2732686,0.14,,,,,,,,,,,,0.26,,
                Tunggulvirus,2732909,,,,0.97,,,,,,,,,,,
                  Kotilavirus,2732921,,0.06,,,,,,,,,,,,,
                  Stompvirus,2732922,0.05,0.09,,0.24,,,0.1,,,,,,,,0.15
                Stubburvirus,2732924,,0.07,0.19,,0.16,,0.27,,,0.13,0.7,,0.26,0.17,0.23
                  Koutsourovirus,2732938,,0.05,,,,,,,,,,,0.19,0.1,0.21
                  Pahsextavirus,2732963,0.05,0.08,,,,,,,,,,,,,
                Harbinvirus,2732970,,0.08,,,,,,,,,,,,,
                Aresaunavirus,2732972,,,,,0.41,0.26,,,,,,,,,
                Citexvirus,2732977,,,,,0.31,0.13,,,,,,,,,
                Kisquattuordecimvirus,2732982,,,,,,0.06,,,,,,,,,
                Kisquinquevirus,2732983,,,,,0.31,0.09,,,,,,,,,
                Simpcentumvirus,2733081,,,,,0.29,0.11,,,,,,,,,
              Barbavirus,2733095,,,,,,0.06,,,,,,,,,
              Phabquatrovirus,2733123,,,,,,0.13,,,,,,,,,
              Saclayvirus,2733128,0.04,,,,,,,,,,,,,,
              Toutatisvirus,2733138,,0.06,,,,,,,,0.14,,,,,
              Ryyoungvirus,2733147,,0.05,,,0.24,0.23,0.24,0.06,,0.29,0.13,,,0.18,0.18
              Feofaniavirus,2733174,0.04,,,,,,,,,,,,,,
              Maxrubnervirus,2733193,0.05,0.05,,,,,,,,,0.13,0.4,,,
              Neferthenavirus,2733198,0.03,,,,,,,,,,,,,,
              Oneupvirus,2733200,,,,,,,,,,,0.13,,,,
                Alehxovirus,2842364,0.03,0.29,,0.8,,,,0.2,1.0,,,,,,
              Akonivirus,2842540,0.11,0.12,,,,0.08,0.1,,,0.14,,,0.19,,0.27
                Bicehmovirus,2842550,,0.09,,0.27,,,0.25,0.2,,,,,,,
                Cbunavirus,2842586,0.12,0.19,0.21,,0.22,0.16,0.08,0.07,,0.23,0.11,,,,0.16
                Cehakivirus,2842589,,0.07,0.79,,,1.2,0.11,,,0.18,0.08,,0.83,,0.12
                Dendoorenvirus,2842641,,,2.11,,,,,,,,,,3.12,0.09,
                  Dongdastvirus,2842653,,0.1,,,,,,,0.52,0.23,0.2,,,,
                Emesvirus,2842664,0.17,,,,,,,,,,,,,,
                  Enterogokushovirus,2842667,,0.08,,2.27,,,,,2.16,,,,,,
                Gihfavirus,2842702,0.44,,,,,0.32,,,,1.25,,,,,
              Henunavirus,2842727,,,,,,,,,,,0.16,,,,
                Hihdivirus,2842731,0.12,,,,,,,,,,,,,,
                Hohrdovirus,2842736,0.08,0.77,,2.4,,0.4,0.21,0.32,2.43,,,0.72,,,1.67
                  Inbricusvirus,2842758,0.05,0.15,0.31,0.24,,,,0.06,,0.14,0.15,,0.41,,
                Ishugivirus,2842767,0.19,0.07,0.35,,,,,0.1,,,,,0.19,0.22,0.22
                Kehmevirus,2842790,,,,,,,,,,0.82,,,,,0.23
                Kemicevirus,2842792,0.18,0.16,0.39,,,1.99,0.14,0.13,,,,,0.21,0.11,
                Kihryuvirus,2842799,0.05,,,,,,,,,,,,,,
                Kinglevirus,2842802,0.19,,,,0.18,0.13,,,,0.42,,,,,
                Kohmavirus,2842807,0.04,,,,,,,,,,,,,,
                Kuhshuvirus,2842813,0.11,,,,,,,,,,,,,,
                  Lonzbavirus,2842833,,0.12,,,0.19,,,0.12,,,,,,,0.12
                Mekintivirus,2842861,0.07,,,,,,,,,,,,,,
                Molucevirus,2842877,,0.06,,,,,,,,,,,,,
                Mooreparkvirus,2842881,0.07,,,,,,,,,,,,,,
              Mydovirus,2842888,0.03,,,,,,,,,,,,,,
                Nehpavirus,2842897,0.31,0.13,,,,,,0.06,,,,,,,
                Paundecimvirus,2842942,,,0.19,,,,,,,0.28,,,0.44,0.11,0.15
                Paysduvirus,2842943,0.05,0.07,,,,,,,,,,,,,
                Pokkenvirus,2842972,,0.05,,0.6,,,,,0.73,0.18,0.11,,,,0.13
                  Pollockvirus,2842973,,0.09,,,,,,,,0.21,0.17,,,,
                  Pourcelvirus,2842976,,0.05,0.38,0.43,,,,,0.65,,,,0.24,,
                Pseudotevenvirus,2842979,,,,,,,,,,0.68,,,,,
                  Pylasvirus,2842993,,0.06,,,,,,,,,,,,,
                Riverridervirus,2843008,,,,,,,,,,0.2,,,,,
                  Sabourvirus,2843014,0.04,0.06,,,,,,,,0.14,,,,,
                Salinovirus,2843017,,,,,,,,,,0.13,,,,,
                Shebanavirus,2843035,,,0.31,,,,,0.23,,,,,0.22,,
                Sholavirus,2843039,0.03,0.99,,7.69,,,0.07,0.16,5.28,,,,,,
              Slepowronvirus,2843051,,,,,,,,,,,0.11,,,,
              Tinytimothyvirus,2843096,0.08,0.09,,,,,0.1,0.06,,,,,,,0.13
                  Veravirus,2843112,,,0.29,,,,,,,,,,,,
                Waedenswilvirus,2843122,0.04,,,,,0.05,,,,,,,,,
                  Warsawvirus,2843128,,,0.72,,,,,,,,,,2.07,,
                  Yonginvirus,2843155,,0.05,,,,,,,,,0.12,,,,
                Zicotriavirus,2843161,,,,,,,,,,,0.08,,,,
                Zurivirus,2843162,,0.05,,0.22,,,,,,,,,,,
              Anjalivirus,2843346,,,,,0.18,,,,,,,,,,
              Astrithrvirus,2843350,0.06,0.15,0.29,0.44,,0.11,0.13,0.13,0.46,0.35,0.39,0.23,0.28,,0.24
              Audreyjarvisvirus,2843351,0.24,0.07,,,,0.07,0.15,,,,0.18,,0.38,0.14,0.35
              Burrovirus,2843362,0.91,0.83,0.76,1.27,0.65,0.36,0.83,0.54,2.43,0.79,0.34,0.5,1.43,1.03,1.39
              Chopinvirus,2843365,0.15,,,,,,,,,,,,,,
              Cimandefvirus,2843366,,,,,0.67,0.42,0.25,0.09,,,,,,0.39,
              Firingavirus,2843381,,,,,,,,0.06,,,,,,,
              Fremauxvirus,2843383,0.15,,,,,,,,,,,,,,
              Hnatkovirus,2843391,,,,,,,,,,,0.09,,,,
              Lastavirus,2843414,,,,,0.21,,0.09,,,,,,,,
