name,taxid,ERR14789334,ERR14789335,ERR14789336,ERR14789337,ERR14789338,ERR14789339,ERR14789340,ERR14789341,ERR14789342,ERR14789343,ERR14789344,ERR14789345,ERR14789346,ERR14789347,ERR14789348
                  Pektosvirus,2732689,,,,,,,,,,,,,,0.12,
                  Phutvirus,2732690,,,,,1.9,,,,,,,,,0.03,
                  Pifdecavirus,2732691,,,,,,,,,,,,,4.86,,
                  Pijolavirus,2732692,,,,1.38,,,0.78,,,,,,0.35,8.68,
                  Teetrevirus,2732693,,,,,,,,,,,,,0.01,0.36,
                  Troedvirus,2732694,,,,,,,,,,,,,0.01,0.14,
                Tunggulvirus,2732909,1.14,,,94.62,,,,,0.83,,,,,0.55,0.51
                  Kantovirus,2732920,,,,,,,,,,,,,,1.12,
                  Kotilavirus,2732921,,,,,,,,,,,,,,0.56,
                  Stompvirus,2732922,,,,,,,,,,0.17,,,,,
                  Kirikabuvirus,2732923,,,,0.29,,,,,,,,,,73.12,
                Stubburvirus,2732924,,,,,,,,,,0.98,,,,,
                  Carltongylesvirus,2732960,0.11,,,,,,,,,,,,,,
                  Pahsextavirus,2732963,0.14,,,,,0.64,,,,,,,,,0.29
              Saclayvirus,2733128,,,,,,,0.33,,,,,,,,
                Shizishanvirus,2733148,,,,,,,,,,,,,10.37,,
              Apricotvirus,2733166,0.31,,,,,,,,,,,,,,
              Feofaniavirus,2733174,,7.02,,,,,,0.89,,,,,,,0.36
              Krampusvirus,2733184,,,,,,,0.48,1.2,,,,,,,
              Maxrubnervirus,2733193,,,,,,,0.24,0.28,,,,,,,
              Rogerhendrixvirus,2733204,,,,,,,,,,,,,,,0.12
              Squashvirus,2733215,,,,,,,,,,,0.33,,,,
                    Betanucleorhabdovirus,2733248,,,,0.06,,,,,,,,,,,
                  Fadolivirus,2763561,,,,0.04,,,,,,,,,,,
                Alehxovirus,2842364,0.11,,1.8,,0.64,,,,,,0.45,,,0.04,
                Andihavirus,2842377,0.96,,,,,,,,,,,,,,
                Apeevirus,2842379,,,,,0.37,,,,,,,,,,0.08
                Ashucavirus,2842389,,,,,,,,,,,,,,,0.18
              Akonivirus,2842540,0.11,,,,,,0.86,,,0.24,,,,,0.11
                  Aoqinvirus,2842544,,,,,,,,,,,,,0.01,,
                Cbunavirus,2842586,0.7,0.41,0.45,0.03,1.01,1.17,0.4,0.59,,1.04,0.35,,0.01,0.04,0.37
                Cehakivirus,2842589,0.09,,,,,,,,,,,,,,
                  Dongdastvirus,2842653,0.12,,,,,,,,,,,,,,
                Gihfavirus,2842702,3.34,5.79,18.51,0.07,1.93,,1.26,3.69,21.1,7.41,9.61,3.3,0.44,1.24,1.45
                Hohrdovirus,2842736,0.42,,,,,,,,,,0.33,,,,0.08
                  Inbricusvirus,2842758,0.12,,,,,,,,,,,,,,0.08
                Ineyimevirus,2842759,0.12,,,,,,,,,,,,,,
                Ishugivirus,2842767,0.4,0.86,0.32,,,,,,,,,,,0.06,0.14
                Kehmevirus,2842790,,,,,,,,,1.24,,,,,,
                Kemicevirus,2842792,0.92,,0.71,,0.61,,,0.49,,0.28,,0.25,,,0.2
              Kenoshavirus,2842796,1.58,1.7,0.51,,,,,3.41,,0.17,1.52,,,0.07,1.13
                Kinglevirus,2842802,1.48,7.17,2.19,0.01,4.89,3.77,,3.53,9.34,1.64,0.83,1.57,0.51,0.73,0.57
                Kohmavirus,2842807,,,,,,,,,,,0.35,,,,
                Littlefixvirus,2842828,,,,,,,,,,,,,0.07,,
                Mekintivirus,2842861,0.53,,,,,,,,,,,,,,
                Mooreparkvirus,2842881,0.29,,,,,,1.07,,,0.24,,,,,0.09
              Mydovirus,2842888,,,,,,,,,0.74,,,,,,
                  Nahantvirus,2842892,,,,,,,,,,,,,0.04,,
                Nehpavirus,2842897,,,,,,,,,,,,,,,0.14
                Paysduvirus,2842943,0.2,,0.84,,,,,,,,,,,0.07,0.2
                Riverridervirus,2843008,,,,,,,,,,,,,0.07,,
                  Sabourvirus,2843014,,,,,,,,,,0.26,,,,,0.09
              Secretariatvirus,2843027,0.9,0.86,0.35,,,,,1.34,,,1.25,,,0.04,0.58
                Shebanavirus,2843035,0.1,,,,,,,,,,,,,,
                Suhnsivirus,2843062,,,,,,,,,,,,0.27,,,
              Tanisvirus,2843069,3.15,0.65,,,,,,1.46,1.36,,0.64,,,0.19,0.36
              Tinytimothyvirus,2843096,0.13,,,,,,0.52,,,,,,,,
                  Warsawvirus,2843128,,,,,,,,,,,,,0.03,0.39,
                  Yonginvirus,2843155,,,,,,,,,,0.19,,,0.03,,
              Astrithrvirus,2843350,0.22,,0.39,0.01,0.44,,0.29,,,0.24,0.45,,,0.03,0.13
              Audreyjarvisvirus,2843351,0.18,,,0.02,1.63,,0.59,,,0.48,0.55,0.43,,,0.35
              Avanivirus,2843352,0.31,,,,,,,,,,,0.48,,,
              Burrovirus,2843362,0.47,1.16,1.32,0.03,0.78,,4.97,4.37,0.31,0.67,0.78,0.52,0.01,0.08,0.38
              Fremauxvirus,2843383,0.13,,,0.02,,,0.36,,,0.33,0.33,,,,0.09
              Hattifnattvirus,2843390,,,,,,,,,,0.3,,,,,
              Klausavirus,2843401,,,,,,,,,0.8,,,,,,
              Lillamyvirus,2843418,0.43,0.55,1.03,,,,0.48,,,1.17,0.76,,,,0.14
              Muldoonvirus,2843425,0.12,,,,0.51,,,,,,,,,,
              Muminvirus,2843426,0.88,1.13,1.5,,,,2.0,,,1.65,0.94,,,,0.45
              Parlovirus,2843433,,,,,0.48,,,,,,,,,,
              Plateaulakevirus,2843436,,,,0.01,,,,,,,,,,,
              Predatorvirus,2843439,0.23,,,,,,,,,,,0.25,,,0.13
              Sandinevirus,2843449,,,,,,,,,,0.41,,,,,
              Whackvirus,2843473,0.12,,,,,,,,,,,,,,
                Yonseivirus,2843478,1.68,0.78,6.46,0.01,,,0.83,0.61,0.8,0.6,0.35,,,0.13,0.31
                  Kahnovirus,2942979,0.21,,,0.01,,0.59,0.48,0.24,,0.45,0.55,,,,0.32
