name,taxid,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789373,ERR14789374,ERR14789375,ERR14789376,ERR14789377,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382
              Akonivirus,2842540,0.33,0.58,0.43,0.62,0.21,0.46,0.59,,,,,0.46,0.32,0.67,0.46
                Cbunavirus,2842586,0.47,0.3,0.54,0.69,0.37,,0.24,,1.16,,,1.14,0.3,0.69,
                Cehakivirus,2842589,0.24,,,0.35,,,,,,,,0.33,,,
                  Dongdastvirus,2842653,,,,0.52,,,,,,,,,,,
                Gihfavirus,2842702,,,,,,,2.73,3.37,,20.25,32.76,,,,3.13
                  Inbricusvirus,2842758,0.16,,,0.73,,,,,,,,,,,
                Ishugivirus,2842767,0.73,,0.9,0.66,0.47,1.55,0.38,,0.71,,,,0.18,0.69,
                Kemicevirus,2842792,0.33,,0.47,0.48,0.54,0.81,0.59,0.64,0.49,,0.23,0.75,0.38,0.61,0.32
              Kenoshavirus,2842796,,,,0.35,,,,,,,,,,0.44,
                Kinglevirus,2842802,,0.44,0.39,0.35,,,0.94,1.21,0.45,5.08,5.57,,0.23,0.3,0.93
                Kohmavirus,2842807,,0.24,0.45,0.38,0.21,0.74,0.31,,0.45,,,,,0.78,0.41
              Mydovirus,2842888,,,,,,,,,,,,0.39,,,
              Nochtlivirus,2842908,,,,,,,,,,,,1.55,,,
                Pokkenvirus,2842972,,0.2,,0.45,,,,,,,,,,,
              Tinytimothyvirus,2843096,0.17,,,,0.21,,,,,,,0.42,,,
              Wongtaivirus,2843141,,,,,,,,,,,,0.86,,,
                Zurivirus,2843162,,,,0.83,,,,,,,,,,,
              Audreyjarvisvirus,2843351,,,,0.35,0.48,,0.26,,,,,,,,
                Bcepfunavirus,2843356,,,,,,,,,,,,0.36,,,
              Burrovirus,2843362,1.8,1.96,1.4,5.84,1.69,1.76,2.15,0.98,2.0,1.27,0.36,3.94,1.1,2.52,2.03
              Hattifnattvirus,2843390,0.44,,0.68,0.77,0.69,0.46,,,,,,,,1.16,0.48
                Labanvirus,2843408,0.33,,,0.41,0.25,0.28,,,,,,,,0.58,0.35
              Lillamyvirus,2843418,0.67,0.22,0.43,3.58,1.15,2.19,1.39,,2.8,,,2.27,1.21,1.61,2.41
              Moturavirus,2843423,0.16,0.24,0.19,,0.23,,,,,,,,,,
              Muminvirus,2843426,0.99,1.42,1.69,1.48,2.28,1.19,1.12,,,,,3.01,,2.61,1.67
              Parlovirus,2843433,,,,,,,,,,,,0.33,,,
                Privateervirus,2843440,,,,,,,,,,,,0.85,,,
                Yonseivirus,2843478,0.6,0.38,0.21,0.86,0.43,0.32,,,0.49,,,0.65,0.22,0.39,
                  Akihdevirus,2942978,,,,0.89,,,,,,,,,,0.83,
                  Kahnovirus,2942979,1.12,0.94,1.31,1.56,2.06,1.34,1.34,1.59,1.25,,,2.57,1.26,1.25,1.53
                  Kehishuvirus,2942980,0.36,0.38,0.41,,0.44,0.44,0.29,,0.45,,,0.54,0.27,0.44,0.45
                  Paundivirus,2942981,,,,,0.22,,0.26,,,,,,,,0.37
                  Afonbuvirus,2942989,0.47,0.32,0.62,0.52,0.7,0.72,0.75,0.91,0.45,0.78,,1.4,0.53,0.67,0.55
                  Canhaevirus,2942990,0.27,,0.31,0.54,0.32,0.38,0.45,0.49,,,,0.74,0.27,0.47,0.43
                  Cohcovirus,2942991,0.36,0.32,0.46,0.57,0.26,0.5,0.59,0.61,0.49,0.85,0.19,0.73,0.38,0.42,0.61
                  Culoivirus,2942992,,,,,0.2,,,,,,,,,,
                  Blohavirus,2942993,0.18,,0.21,,,,0.35,,,,,,0.19,,
                  Buchavirus,2942994,0.29,0.34,0.19,,0.35,0.32,0.59,0.42,,,,0.33,0.35,0.3,
                Phobosvirus,2943014,,,,,,,,,,,,0.85,,,
                Salvovirus,2943016,0.47,0.38,0.21,0.52,0.27,0.26,0.33,0.57,,1.06,,0.88,0.28,0.42,0.43
                Sharonstreetvirus,2943019,0.66,0.64,0.6,1.35,0.93,,0.31,,0.45,,,1.69,0.65,0.94,0.58
