name,taxid,ERR14789028,ERR14789029,ERR14789030,ERR14789031,ERR14789032,ERR14789033,ERR14789038,ERR14789039,ERR14789040,ERR14789041,ERR14789042,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382
                Chivirus,1623283,,,,,,,,,,,,,,,,0.23,,,,,
              Detrevirus,1623287,,,,,,,,0.19,,,,,,,,,,0.39,,,
              Hollowayvirus,1720324,,,,,,,,,,0.14,,,,,,,,,,,
                  Sicinivirus,1755587,0.15,0.36,0.3,0.3,0.4,0.18,0.3,,0.15,0.57,,,,,,,,,,,
                  Alphatrevirus,1910951,0.14,,,,,,,,,,,0.24,0.26,0.39,,0.49,,0.36,0.25,,
                  Jerseyvirus,1910991,,,,,,,,,,,,,,,,,,1.32,,,
                  Kagunavirus,1910992,0.13,,0.03,,0.06,0.05,,0.71,0.02,0.13,,0.84,0.84,1.1,1.11,1.01,0.38,2.53,0.81,0.89,0.67
                  Alphacarmovirus,1911599,,,,,,,,,,,,,,,,,,,0.17,,
                  Gammacarmovirus,1911601,0.28,0.05,0.07,0.06,0.08,0.08,0.13,0.27,0.01,0.7,0.08,2.84,2.6,2.06,2.84,2.14,5.84,1.63,3.14,7.01,2.89
              Vequintavirus,1914852,,,,,,,,,,,,,,,,,,0.39,0.25,,
              Obolenskvirus,1915205,,,,,,,,,,,,,,,,,,0.33,,,
                  Gamaleyavirus,1920753,0.04,,,,,,,,,,,0.33,0.36,0.54,0.35,0.72,,0.36,0.4,0.33,0.38
                Webervirus,1920860,0.04,,,,,,,,,,,0.19,,,,0.21,,0.55,0.28,,
                Gemykibivirus,1941236,0.23,0.07,0.09,0.04,0.06,0.07,0.16,0.17,0.01,0.61,0.09,0.95,5.3,0.99,2.04,1.47,8.36,0.81,2.2,4.63,3.4
                Gemykolovirus,1941238,,,,,,,0.02,,,,,,,,,,0.66,,,,0.35
                  Orthonairovirus,1980517,,,,,,,,,,,,0.17,,,,,,,,,
              Mudcatvirus,1982088,,,,,,,,,,,,0.16,,,0.41,,,,,0.28,
              Pepyhexavirus,1982367,,,,,,,,,,,,,,,,,,0.39,,,
                  Johnsonvirus,1982576,,,,,,,,,,,,,,,0.41,,,,,,
                Gemygorvirus,1985366,,,,,,,0.03,,,,,,0.44,,,,1.24,,,,0.46
                Gemykrogvirus,1985367,,0.06,,,0.06,,,,,,,0.27,3.98,0.47,0.69,1.91,0.63,,0.3,0.55,
                  Pradovirus,1985733,0.13,,,,,0.14,,0.2,,0.3,,0.32,0.44,,0.97,0.27,0.21,0.55,0.35,1.11,0.55
                  Rabovirus,2025077,0.24,,0.38,0.09,0.14,0.06,0.05,,0.08,,0.14,,,,,,,,,,
          Pandoravirus,2060084,,,,,,,0.04,,,,,,0.64,,,,2.19,,,,
                  Bopivirus,2169638,,,,0.05,,,,,,,,,,,,,,,,,
                Porprismacovirus,2169663,,,,,,,,,,,,,,,,,0.21,,,,
                Husavirus,2219049,0.07,,,,,0.08,,,,,,0.47,0.44,1.01,1.0,0.95,0.53,0.91,0.75,0.42,0.41
                    Pregotovirus,2508244,,,,,,,,,,,,0.17,,,,0.23,,,,,
                  Ailurivirus,2560085,0.06,,,,,,,,,,,,,,,,,,,,
                  Anativirus,2560090,0.08,,,0.04,,,,,0.1,,,,,,,,,,,,
              Bingvirus,2560103,,,,,,,,,,,,,,,0.48,,,,,,
              Brunovirus,2560108,,,,,,,,,,,,,,,,,,0.33,,,
                  Ceetrepovirus,2560111,,,,,0.08,,,,,,,,,,,2.16,,0.36,,,
              Dismasvirus,2560122,,,,,,,,,,,,0.17,,,0.41,,,0.36,0.18,0.28,
              Farahnazvirus,2560130,0.09,0.03,,,,,0.05,0.16,,,,0.25,4.6,0.45,,0.19,2.19,0.55,0.48,0.28,0.72
              Fipvunavirus,2560132,,,,,,,,,,,,0.28,,0.19,1.28,0.39,,0.98,,1.33,1.48
              Ilzatvirus,2560150,,,,,,,,,,,,,,,0.38,,,,,,
                Noxifervirus,2560190,,,,,,,,,,,,,,0.19,,0.31,,,,,
              Scapunavirus,2560225,,,,,,,,,,0.07,,,,,,,,0.46,,0.33,
                Unahavirus,2560245,,,,,,,,,,,,0.35,,,0.38,,,0.33,,0.39,0.61
                Ampunavirus,2732929,,,,,,,0.01,,,,,,,,,,0.44,,,,
              Phapecoctavirus,2733124,,,,,,,,,,,,,,,,,,,0.19,,
              Saclayvirus,2733128,,,,,,,,,,,,0.33,0.3,0.52,,0.78,,1.47,0.27,0.67,0.41
              Xuquatrovirus,2733151,0.04,,,,,,,,,,,,,,,,,,,,
