name,taxid,ERR14789282,ERR14789283,ERR14789284,ERR14789285,ERR14789286,ERR14789287,ERR14789288,ERR14789289,ERR14789290,ERR14789291,ERR14789292,ERR14789293,ERR14789294,ERR14789295,ERR14789296,ERR14789297
                Gemykibivirus,1941236,,0.56,0.16,0.58,13.66,,,0.29,0.15,0.06,0.1,0.44,0.18,0.22,0.15,0.26
                  Sepunavirus,1980928,,,,,,,,,,,0.03,,,,,
              Korravirus,1982076,,,,,,,,,,,0.01,,,,,
              Mudcatvirus,1982088,,,,,,,,,0.12,0.08,0.14,,,,,0.11
                  Abidjanvirus,1982095,,,,,,,,,,,0.02,,,,,
              Gordonvirus,1982152,,,,,,0.15,,,0.12,0.07,0.13,,,,,0.12
              Gordtnkvirus,1982218,,,,,,,,,,,0.01,,,,,
              Nipunavirus,1982239,,0.2,,,,,,,,0.06,0.05,,,,,
              Pahexavirus,1982251,,,,,,,,,,,0.02,,,,,
              Pepyhexavirus,1982367,,,0.09,,,0.17,,,0.14,0.13,0.17,,,0.08,,0.11
              Roufvirus,1982370,,,,,,,,0.13,,,,,,,,
                  Johnsonvirus,1982576,,,,,,,,,,,0.02,,,,,
              Likavirus,1982880,,,,,,,,,,,0.03,,,,,
              Fishburnevirus,1983734,,,,,,,,,,,0.12,,,,,
                  Mooglevirus,1985303,,,,,,,,,0.17,,0.03,,,0.1,,0.08
                  Jiaodavirus,1985325,,,,,,,,,0.17,,0.07,,,0.05,,
                Slopekvirus,1985328,,,,,,2.86,,,,0.08,2.47,,0.16,0.07,,
                  Moonvirus,1985329,,,,,,,,,,,0.02,,,,,
                Gemykrogvirus,1985367,2.68,0.16,,,0.51,,,0.19,,,0.02,0.16,0.17,0.19,,0.08
                  Friunavirus,1985711,,,,,,,,0.11,,,0.04,,,0.77,,
                  Przondovirus,1985720,,2.0,0.18,0.52,0.7,7.64,23.76,0.33,0.8,0.17,10.39,0.79,0.2,0.27,0.1,0.4
                  Pradovirus,1985733,,0.17,,,0.16,,,0.12,0.16,0.23,0.14,,,0.11,0.06,0.09
          Pandoravirus,2060084,,,,,,,,,,,0.13,,,,0.15,
                  Tupanvirus,2094720,,,0.25,,,0.21,,,,0.16,0.14,,,0.06,0.19,0.11
                  Agtrevirus,2169532,,,,,,,,0.13,0.21,,0.04,,,0.19,,0.1
                  Kuttervirus,2169536,,,,,,,,,,,0.05,,,0.07,,0.1
              Limdunavirus,2169621,,,0.08,,,,,0.13,,0.18,0.03,,,0.07,0.06,
                Machinavirus,2169624,,,,,,,,,,,0.02,,,,,
                  Jwalphavirus,2169642,,,,,,,,,,0.07,,,,,,
                  Ithacavirus,2169643,,,,,,,,,0.45,,0.02,,,0.06,,0.38
                  Wizardvirus,2169658,,,,,,,,,,,0.03,,,,,
                Porprismacovirus,2169663,,,,,,,0.19,,,,0.03,,,,,
                Husavirus,2219049,,,,,0.29,,,,,,,,,,,
              Asteriusvirus,2560094,,,,,,,,,,0.06,0.07,,,,,0.08
              Bantamvirus,2560096,,,,,,,,,,,0.02,,,,,
              Bingvirus,2560103,,,,,,,,,,,0.04,,,,,
              Brunovirus,2560108,,,,,,,,,,,,,,0.05,,
              Dismasvirus,2560122,,,,,,,,,,,0.02,,,,,
              Efquatrovirus,2560124,,,,,,,,,,,,,,,,0.12
              Elerivirus,2560126,,,,,,,,,,,0.02,,,,,
              Eneladusvirus,2560128,,,,,,,,,,,0.02,,,,,
              Metrivirus,2560175,,,,,,,,,,,0.01,,,,,
              Mimasvirus,2560176,,,,,,,,,,,0.02,,,,,
                  Phimunavirus,2560202,,,,,,,,0.11,,,0.04,0.19,,0.15,,
              Pikminvirus,2560203,,,,,,,,,,,0.02,,,,,
              Popoffvirus,2560208,,0.18,,,,,,0.1,,,0.02,,,0.09,,
              Rimavirus,2560214,,,,,,0.14,,,,,0.09,,,0.05,,
                Sanovirus,2560222,,0.14,0.12,,,0.19,,,,,0.11,,,0.05,,
              Scapunavirus,2560225,,,,,,,,,,,0.03,,,,,
                Sugarlandvirus,2560233,,,1.0,,,,,,0.5,0.15,0.09,1.59,,0.09,0.28,0.33
              Trinavirus,2560242,,,,,,,,,,,0.02,,,,,
                Tulanevirus,2560244,,,,,,,,,,,0.03,,,,,
                  Vividuovirus,2560251,,,,,,,,,,,0.03,,,,,
                Taipeivirus,2731621,,,,0.54,,,,,,,0.02,,,0.1,,
                  Pettyvirus,2731671,,,,,,,,,,,0.03,,,,,0.08
                  Daemvirus,2731672,,,,,,,,,,,0.02,,,,,
                Gajwadongvirus,2731941,,,,,,,,0.28,,,,,,0.28,,
                Jiaoyazivirus,2731945,,,,,,,,,,,0.04,,,,,
                Scottvirus,2731973,,,,,,,,,,,,,,,,0.09
                  Epseptimavirus,2732017,,,,,,,,,,0.1,0.04,,,,,0.1
                Shenzhenvirus,2732038,,,,,0.18,0.17,,,,,0.09,,,,,
                  Apdecimavirus,2732676,,0.15,0.1,0.45,,0.23,,0.13,,0.09,0.16,,,0.16,,
                  Berlinvirus,2732677,,,,,1.15,0.28,,0.21,,0.07,0.42,,,0.25,,
                  Foetvirus,2732682,,,,,0.24,,,,,0.07,0.13,,,0.09,,0.09
                  Ghunavirus,2732683,,,,,,,,,,,,,,,52.37,
                  Kayfunavirus,2732686,,3.69,0.69,0.78,0.62,0.63,0.44,0.49,1.59,0.81,0.68,1.55,0.24,0.47,0.37,1.24
                  Minipunavirus,2732687,,,,,,,,,,0.08,0.04,,,,,
                  Pifdecavirus,2732691,,,,,,,,,,,,,,,0.08,
                  Pijolavirus,2732692,,,,,,,,,,,,,,,1.11,
                  Teetrevirus,2732693,,,,,,,,,,,0.09,,,,,
                  Cronosvirus,2732913,,,0.21,,,,,,,,0.06,0.12,0.1,0.05,,
                  Pienvirus,2732915,,,,,,,,,,,0.01,,,,,
                  Kotilavirus,2732921,,,,,,,,0.11,,,0.03,0.21,,0.1,,
                  Stompvirus,2732922,,0.17,0.13,,0.22,,,0.32,0.25,0.09,0.08,1.03,,0.54,0.08,0.17
                Stubburvirus,2732924,,,0.28,0.32,,,,,,0.11,0.03,,,,,
                Risjevirus,2732932,,,,,,,,,,,0.02,,,,,
                  Koutsourovirus,2732938,,,0.22,,,,0.23,0.89,,0.16,0.05,3.84,,0.93,0.12,
                  Carltongylesvirus,2732960,,,,,,,,0.12,,0.07,0.03,,,0.09,,0.09
                  Pahsextavirus,2732963,,,,,,,,0.56,0.19,,0.06,,,0.42,,0.19
                  Yushanvirus,2732965,,,,,,,,,,,,,,0.05,,
                  Schiekvirus,2732968,,,0.13,,,,,,,0.13,0.02,,,,0.12,0.5
