name,taxid,ERR14789363,ERR14789354,ERR14789359,ERR14789366,ERR14789356,ERR14789361,ERR14789364,ERR14789353,ERR14789350,ERR14789367,ERR14789362,ERR14789355,ERR14789358,ERR14789365,ERR14789357,ERR14789360,ERR14789266,ERR14789263,ERR14789272,ERR14789259,ERR14789269,ERR14789264,ERR14789261,ERR14789270,ERR14789262,ERR14789273,ERR14789267,ERR14789260,ERR14789271,ERR14789268,ERR14789265,ERR14789310,ERR14789309,ERR14789315,ERR14789318,ERR14789312,ERR14789320,ERR14789317,ERR14789308,ERR14789314,ERR14789319,ERR14789311,ERR14789321,ERR14789316,ERR14789307,ERR14789313,ERR14789380,ERR14789372,ERR14789377,ERR14789382,ERR14789370,ERR14789375,ERR14789369,ERR14789378,ERR14789376,ERR14789381,ERR14789373,ERR14789374,ERR14789368,ERR14789379,ERR14789371,ERR14789288,ERR14789294,ERR14789285,ERR14789291,ERR14789296,ERR14789287,ERR14789282,ERR14789293,ERR14789290,ERR14789289,ERR14789295,ERR14789284,ERR14789283,ERR14789292,ERR14789297,ERR14789286,ERR14789183,ERR14789186,ERR14789179,ERR14789190,ERR14789176,ERR14789189,ERR14789184,ERR14789175,ERR14789178,ERR14789187,ERR14789182,ERR14789188,ERR14789177,ERR14789185,ERR14789336,ERR14789348,ERR14789345,ERR14789340,ERR14789334,ERR14789347,ERR14789339,ERR14789342,ERR14789341,ERR14789337,ERR14789344,ERR14789343,ERR14789335,ERR14789346,ERR14789338,ERR14789327,ERR14789322,ERR14789333,ERR14789328,ERR14789325,ERR14789331,ERR14789323,ERR14789332,ERR14789326,ERR14789330,ERR14789329,ERR14789324
                    Morbillivirus,11229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Orthobunyavirus,11572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Marafivirus,12051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1.03,,,0.34,,0.6,,,,0.26,,0.22,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Sequivirus,12057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,0.1,,0.07,,0.16,,
                  Enterovirus,12059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,0.02,0.08,0.45,0.02,0.06,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Sobemovirus,12137,,,,,,,0.18,,,,,,,,,,,,,0.23,,,0.33,,,,,1.24,,,0.24,,0.4,,,,,,,,,,,,,0.17,1.3,0.99,1.06,0.41,1.4,1.74,1.88,0.86,3.03,1.77,0.49,0.66,0.77,,1.63,,,,,,,,0.32,0.68,,,,,,0.47,0.19,,0.1,,,0.16,,,,,,,,,,,,7.41,,,,,0.93,1.2,,0.25,,1.01,,,,,,,,,,,,0.3,,
                  Tombusvirus,12141,,0.16,0.13,,,,,0.03,,,,,,,,0.16,0.28,,,,,,0.12,,,,,0.25,,,,,,,,0.25,,,,,,,,,,,18.52,21.6,5.86,18.55,19.7,19.75,16.22,5.27,27.83,21.62,23.79,14.78,10.75,4.95,17.46,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,0.05,,,,,,,
                Tymovirus,12148,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.87,,,0.56,,0.38,,0.45,1.5,0.93,0.35,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,0.26,,0.06,,0.16,,
                  Carlavirus,12163,0.11,0.07,,,0.27,,,0.15,,0.12,0.2,,0.06,,,,0.22,,0.26,0.32,,0.17,0.2,,0.12,0.4,,0.1,0.13,0.25,,,,,,,,,,,,,,,,,0.37,0.47,,,0.41,,,,,,0.23,0.24,0.25,,0.52,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,
                Potexvirus,12176,,0.05,,,,,,0.53,,,,,,,,,,,0.12,0.11,,,0.17,,,0.22,,0.19,0.13,5.7,0.2,,2.3,4.8,1.65,6.48,2.1,1.42,0.75,9.57,6.07,0.18,3.8,2.03,1.95,4.23,1.05,1.79,,2.84,1.2,0.64,0.64,0.42,0.62,1.72,0.81,1.08,0.68,,0.86,,,,,,,,,,,,,,,,,0.36,1.71,2.58,0.66,0.84,0.52,0.74,,1.82,0.6,0.64,0.52,2.95,1.19,,0.21,2.53,0.26,0.14,,,,0.38,0.03,,0.24,0.71,,,,,,,1.06,,0.16,0.09,0.06,0.13,,
                Potyvirus,12195,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Tobamovirus,12234,38.41,67.23,76.61,82.43,38.11,28.52,71.39,82.89,,54.64,43.8,57.82,74.32,46.9,70.45,84.28,45.89,13.41,3.33,5.28,3.4,9.89,7.38,19.57,4.75,10.12,26.81,10.61,12.0,18.35,17.29,,47.2,44.94,44.91,51.34,53.3,44.43,57.45,33.02,44.28,2.8,43.58,57.96,62.74,45.74,39.01,19.62,24.35,26.34,35.23,30.65,26.23,18.64,22.22,16.52,29.93,30.15,30.08,6.29,18.71,6.17,27.52,1.17,35.07,0.7,0.21,5.86,4.03,4.38,3.95,3.21,0.96,0.81,0.19,3.82,2.74,92.13,74.28,52.69,61.15,68.85,48.49,68.04,54.9,59.57,50.1,81.07,51.21,53.38,70.86,25.64,48.73,25.2,11.0,22.69,2.08,38.04,8.26,20.06,0.31,23.73,22.65,18.71,0.28,44.43,58.97,37.33,64.37,16.53,63.14,55.53,54.57,66.87,78.27,17.9,23.87,27.97
                  Comovirus,12258,,,0.09,,,,,0.07,,0.11,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.64,,,1.09,,0.6,,,,0.28,0.28,0.17,,,,,,,0.35,,,,,,,0.37,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,
                  Nepovirus,12270,,,,,,,0.2,0.08,,,,0.39,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Bromovirus,12300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.12,,,,
                Circovirus,39725,,,,,,,,,,,,,,,,,,10.35,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Machlomovirus,39739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Chlamydiamicrovirus,40274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Sapovirus,95341,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Teseptimavirus,110456,,,,,,,,,,,,,,,,,,,0.65,0.79,0.18,0.24,0.37,0.25,0.46,,0.49,0.26,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,0.58,,,,,,,,0.65,,0.36,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,0.23,,,,,0.11,,0.23,,
                Peduovirus,140410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Allexivirus,140568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Norovirus,142786,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,0.42,0.39,0.02,,1.65,,,,0.14,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Alphanodavirus,143920,,0.24,,0.1,,,,0.09,,0.21,0.73,0.83,0.09,0.22,0.19,0.14,0.94,11.4,0.67,0.93,0.28,1.36,2.46,1.91,1.74,0.51,1.29,4.59,0.79,2.85,1.82,,,,,0.39,,,0.39,,,,,,,0.2,,,,,0.34,,0.7,0.53,0.85,,,,0.25,,,,,,,,,,,,,,,,,,,0.19,0.17,0.51,0.63,1.1,0.24,0.31,1.38,0.39,0.3,0.83,0.27,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Cripavirus,144051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,19.31,,,,,,,,,,,,,,,,0.03,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Myohalovirus,169682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,
                  Mardivirus,180252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,
                Chlorovirus,181083,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.05,,,,,,,,0.74,,0.14,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Prasinovirus,181084,,,,,,,,,,,,,,,,,,,,0.07,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Phaeovirus,181085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Aureusvirus,186457,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,0.03,,,
              Ceduovirus,186532,0.1,0.09,,,,,,,,0.11,0.35,,,,,,,,,0.24,,,0.09,0.62,1.6,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,0.15,0.09,,,,,,,,,,,,,,,,,,0.15,,,0.09,,,,,,,0.24,,,,,,,,,,,0.07,,,,
              Fromanvirus,186764,0.12,0.07,0.12,,0.26,0.54,,0.03,,,,,0.14,,0.18,0.06,,,,0.11,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,0.09,,,0.04,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,0.91,,,,,0.09,0.18,,,,
              Punavirus,186789,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,0.24,,0.26,,,,,,,0.72,,,,,0.16,,,,,0.17,,,3.74,0.7,,,,0.89,,,,0.38,,,,,,,,,,,,,,,,,0.04,,,,0.07,,,,,,,,0.28,,0.15,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,
              Lederbergvirus,186794,,,,,,,,0.18,,,,,,,,,,,0.13,0.13,,,0.32,0.35,0.21,,,0.22,0.48,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,1.09,,,,,0.22,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Panicovirus,186844,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,0.08,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Tunavirus,187217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Tequintavirus,187218,,,,,,,,,,,,,,,,,,,0.25,0.1,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Kobuvirus,194960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.04,,,
                Maculavirus,249185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
          Whispovirus,249585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,
                Mamastrovirus,249588,0.43,,,,,,0.45,0.13,,,0.44,,,,,,0.48,,0.45,0.33,0.52,0.53,0.83,0.47,0.8,0.24,,0.43,0.61,0.6,,,1.98,,2.55,,0.61,1.17,1.13,1.09,0.97,,2.12,0.82,0.37,0.23,1.05,0.25,,,0.45,,0.58,,,,0.42,0.33,0.51,,0.76,,2.41,0.5,,0.35,0.24,,,0.61,0.16,,0.48,0.63,0.24,0.54,2.51,,0.1,,0.27,,0.23,,,,0.29,,0.4,,,,,,0.4,0.14,,,,,,,0.24,,,,,,,0.25,,,,,0.04,,0.8,
                  Mimivirus,315393,,,,,,,,,4.84,,0.16,0.27,,,,,,,0.13,0.23,,0.34,0.23,,0.16,,,0.17,0.11,,,,,,,,,,,,,,,,,,0.5,0.82,,0.72,0.97,1.21,0.86,,,0.78,0.86,0.45,0.39,0.91,1.11,,,,0.09,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,0.09,,,,
                  Enquatrovirus,371730,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,0.06,,,0.26,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Phikmvvirus,477967,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,,,,0.02,,,,,,,0.19,,,,,0.31,,,,,
              Rauchvirus,542959,0.47,0.35,2.06,3.02,1.82,4.89,0.29,0.03,,1.87,3.44,0.39,2.67,0.38,6.58,0.74,,,0.46,0.38,0.13,0.71,0.56,0.22,0.59,0.31,0.44,0.24,,0.2,0.61,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,0.17,0.46,,,,,0.08,0.06,,,,,,,0.14,,0.07,0.12,,,,,,,0.18,,,,0.11,,0.11,1.28,,,,,0.29,,,,,,,,,,,,,,0.15,,0.04,0.41,,0.1,0.04,,,
              Uetakevirus,542960,0.15,0.13,0.11,,,,,0.06,,,,,0.05,,,,,,,0.13,0.23,0.35,0.26,0.68,0.36,,0.26,0.36,0.4,0.21,0.39,,0.84,,,,,,0.42,0.97,0.35,0.26,,,0.37,0.2,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,0.07,,,0.05,0.14,1.57,0.26,0.33,0.3,0.16,1.1,,0.35,,0.3,,0.13,0.39,0.1,,0.54,0.11,,,,,,,,,,,,,,,,,,0.21,,,,
              Bruynoghevirus,545932,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,
                Ostreavirus,548686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,
                  Percavirus,548688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Alphabaculovirus,558016,,0.05,,,,,,0.05,,0.14,,,0.05,0.19,,,,,0.12,0.12,0.18,,0.15,,0.08,,0.25,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.08,0.22,,,0.15,,,,,0.13,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.12,0.6,0.06,,,,
            Betabaculovirus,558017,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,0.28,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Bixzunavirus,680114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,
                Phikzvirus,680115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
                Kuravirus,680277,,,,,,,,,,,,,,,,,,,,0.07,,0.32,,0.75,0.1,,0.23,0.3,,,,,,,,,,,,0.18,,0.23,,,,,,,,,,,,,,,,,,,,,0.32,,0.23,0.24,,0.56,,0.44,0.19,0.08,0.18,,0.05,0.43,0.18,,0.08,,0.28,,0.69,0.11,,,0.41,,0.26,,0.1,,,,,,,,,,,,,,,,,,,,0.05,,0.25,,,,,
                  Salivirus,688449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.4,,,,,0.38,0.24,1.03,0.45,,,,,,,,,,,,,8.43,,,,0.07,,,,0.1,,0.02,0.13,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Alphacoronavirus,693996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,
                    Betacoronavirus,694002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Cyclovirus,742914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,0.42,,,0.16,,,0.33,,0.18,0.38,0.25,,0.29,0.24,,0.88,0.27,,,0.56,0.75,0.25,,,9.73,28.89,21.95,18.38,12.0,2.79,5.47,41.75,15.32,30.71,25.74,18.74,31.23,3.84,22.21,19.54,0.07,0.15,0.54,,0.28,,0.14,,,0.47,,0.2,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Felixounavirus,1198140,,,,,,,,0.03,,,,,,,,,0.7,,0.12,0.08,,,0.09,,0.1,,,0.11,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,1.66,,,,,,,1.08,,0.47,,,,,,1.44,0.08,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Kappatorquevirus,1218487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Muscavirus,1285593,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Alphanecrovirus,1299309,0.08,0.18,,,,,,,,,,,,,,,,,0.14,,,,,,,,,0.23,,,,,,,,,,,,,0.11,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,0.33,,,,,,,,,,,,,,,,,,
                  Betanecrovirus,1299311,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,
