name,taxid,ERR14789259,ERR14789260,ERR14789261,ERR14789262,ERR14789263,ERR14789264,ERR14789265,ERR14789266,ERR14789267,ERR14789268,ERR14789269,ERR14789270,ERR14789271,ERR14789272,ERR14789273
                Webervirus,1920860,0.25,0.3,0.3,0.82,,0.22,,,,0.25,,0.28,0.11,2.89,0.38
                  Tlsvirus,1920865,,,,0.08,,,,,,,,,,,
              Nonagvirus,1921117,0.23,0.09,,0.13,,,,,,,,,,,
              Nonanavirus,1921122,,0.07,,,,,,,,,,,,,
                  Pakpunavirus,1921407,,,,,,,,,,,,,0.28,,
              Kleczkowskavirus,1921525,,,,,,,,,,,,,0.13,,
              Septimatrevirus,1921544,0.54,0.34,0.63,0.52,,0.56,0.54,,0.25,0.15,,0.19,,0.48,0.81
              Enhodamvirus,1922329,,,,,,,,0.24,,,,,,,
                Gemykibivirus,1941236,0.69,4.53,2.28,2.16,,0.39,0.38,0.68,0.23,0.35,,0.45,0.12,,
              Mudcatvirus,1982088,0.16,0.07,,0.08,,,,,,,,,,,
                  Abidjanvirus,1982095,0.26,0.1,0.17,0.2,,0.5,0.32,,,,,,,0.11,0.18
              Eiauvirus,1982111,,,,,,,,,,,0.23,,,0.69,
              Gordonvirus,1982152,0.09,0.11,0.09,,,,,,,,,,,,
              Nipunavirus,1982239,0.33,0.17,0.14,0.27,,0.2,0.28,0.22,0.31,0.16,,,,0.22,0.18
                  Pamexvirus,1982355,,,,0.08,,,,,,,,,,,
              Pepyhexavirus,1982367,0.21,0.14,0.14,0.12,,0.17,,,,,,,,0.13,
              Roufvirus,1982370,,0.08,,,,,,,,,,,,,
              Titanvirus,1982573,,,0.08,,,,,,,,,,,,
                  Johnsonvirus,1982576,0.11,0.1,0.1,,,0.15,,,,,,,,,
              Kochitakasuvirus,1982590,0.08,,,,,,,,,,,,,,
                  Luzseptimavirus,1982594,0.07,,,,,,,,,,,,,,
              Likavirus,1982880,,,,,,,,,,,0.28,,,,
                  Kolesnikvirus,1985293,,0.07,,,,,,,,,,,,,
                  Mooglevirus,1985303,,0.09,,,,,,,,,,,,,
                  Jiaodavirus,1985325,,,,,,,,,,,,,,0.16,
                Slopekvirus,1985328,,0.15,0.12,0.21,,0.62,,,,,,,,,
                Gemygorvirus,1985366,,0.11,,0.1,,,,,,,,,,,
                Gemykrogvirus,1985367,,0.08,0.3,0.69,,,,,,,,,,,
                  Friunavirus,1985711,0.18,0.18,0.37,0.27,,0.22,0.46,0.23,0.23,0.34,1.54,1.5,5.06,,0.57
                  Przondovirus,1985720,0.7,0.33,0.34,0.38,,0.82,0.38,0.48,0.52,0.13,0.14,,0.53,0.35,0.42
                  Pradovirus,1985733,0.11,0.2,0.13,,,,0.22,,0.48,,,,0.22,,0.18
          Pandoravirus,2060084,0.69,0.63,0.54,0.46,,,0.85,,,,,0.58,,0.7,
                  Tupanvirus,2094720,0.1,0.07,,0.08,,,,,,,,,,,
                  Agtrevirus,2169532,,0.07,,,,,,,,,,,,,
                  Kuttervirus,2169536,0.08,,,0.08,,,,,,,,,,,
              Limdunavirus,2169621,,,,0.21,,,,,,,,,,,0.18
              Unaquatrovirus,2169622,,,,0.29,,,,,,,,,,,
                Machinavirus,2169624,0.28,,0.09,0.08,,,,,,0.16,,,,0.13,
              Svunavirus,2169625,0.07,,,,,,,,,,,,,,
                  Jwalphavirus,2169642,,,,,,,,,,,,,,0.24,
                  Ithacavirus,2169643,0.17,0.42,0.31,0.22,,0.3,0.38,,,1.11,,,0.2,0.16,0.29
              Doucettevirus,2169653,0.11,,0.11,0.07,,,,,,,,,,,
                  Wizardvirus,2169658,0.09,,,,,,,,,,,,,,
              Alcyoneusvirus,2560086,0.11,0.1,,0.5,,,,,,0.15,,,,,0.18
              Asteriusvirus,2560094,0.17,0.08,0.37,0.35,,0.17,,,,,0.79,0.58,0.48,0.31,0.37
                Bifseptvirus,2560102,,,,,,,,,,,0.14,,,,
              Bingvirus,2560103,0.07,0.06,,0.08,,,,,,,,,,,
              Brunovirus,2560108,0.11,0.39,0.15,0.09,,0.35,,,,,,,,,
                  Ceetrepovirus,2560111,5.71,1.98,0.68,1.21,2.32,,0.6,1.53,7.53,5.96,2.08,3.28,0.47,0.35,0.68
              Eneladusvirus,2560128,,0.09,,,,,,,,,,,,,
              Fipvunavirus,2560132,0.12,0.08,,,,,,,,,,,,,
                  Flaumdravirus,2560133,,,,,,,,,,,0.22,,0.88,,
              Gofduovirus,2560141,,,,,,,,,0.43,,,,,,
              Gustavvirus,2560144,,,0.08,,,,,,,,,,,,
                Iapetusvirus,2560148,0.07,,,,,,,,,,,,,,
              Ilzatvirus,2560150,,,,,,,,,,,0.14,,,,
              Kojivirus,2560161,0.2,0.12,0.08,0.08,,,,,,,,,0.13,,
              Krylovvirus,2560162,,,,,,,,,,,0.19,0.79,,,
                Locarnavirus,2560169,,,,,1.69,,,,,,,,,,
              Metrivirus,2560175,0.09,,,,,,,,,,,,,,
              Mimasvirus,2560176,,0.07,,0.11,,0.17,,,,,,,,,
                Napahaivirus,2560184,,,,,,,,,,,0.47,,,,
              Nickievirus,2560188,,,,0.09,,,,,,,,,,,
                  Otagovirus,2560197,,,,,,,,,,,0.28,,1.85,0.12,
              Peatvirus,2560201,,0.13,,0.15,,,,,,,,,,,
                  Phimunavirus,2560202,0.13,0.16,0.27,0.22,,0.22,,,,,0.87,0.28,0.7,0.13,
              Pikminvirus,2560203,0.07,,,,,,,,,,,,,,
              Plaisancevirus,2560204,,,,,,,,,,,0.18,,,,
              Popoffvirus,2560208,0.48,1.19,0.79,0.91,,1.21,1.15,,,,1.41,,0.35,0.24,0.37
              Rimavirus,2560214,0.1,,,,,,,,,,,,,,
