name,taxid,ERR14789322,ERR14789323,ERR14789324,ERR14789325,ERR14789326,ERR14789327,ERR14789328,ERR14789329,ERR14789330,ERR14789331,ERR14789332,ERR14789333
                  Daemvirus,2731672,,,,,,,5.02,0.49,,,0.1,
                  Bonnellvirus,2731932,,,,,,,5.22,,,,,
                Gajwadongvirus,2731941,,,,,,,,,,,0.07,
                  Loudonvirus,2732063,,,,,,,,,,,0.06,
                  Andhravirus,2732589,1.6,,,,,,,,,,,
                  Kayfunavirus,2732686,,,,0.04,0.03,,,,,0.36,0.22,0.54
                  Pijolavirus,2732692,0.26,,,,,,,,,,,
                Tunggulvirus,2732909,22.13,4.04,15.08,,,,,1.06,,,,
                  Kotilavirus,2732921,,,,,,,2.57,,,,,
                  Stompvirus,2732922,,,,,,,,,,,0.06,
                  Kirikabuvirus,2732923,0.63,9.65,,,,,,,,,,
                Stubburvirus,2732924,,0.07,,,,,,,,,,
                  Vectrevirus,2732928,,,,,,,,,,,0.06,
                  Koutsourovirus,2732938,0.31,0.07,0.3,0.07,0.1,,,,0.4,0.43,0.34,0.2
                  Carltongylesvirus,2732960,,,,0.05,,,,0.49,0.19,0.22,0.25,0.31
              Phapecoctavirus,2733124,,,,,,,3.48,,,,,
              Toutatisvirus,2733138,,,,,,,,,,,0.11,0.18
                Shizishanvirus,2733148,,0.1,,,,,,22.61,,,,
              Xuquatrovirus,2733151,,,,,0.03,,,,,,,
              Krampusvirus,2733184,,,,,,,,,,,0.05,0.15
              Lanavirus,2733185,0.52,,,,,,,,,,,
              Maxrubnervirus,2733193,3.31,0.16,,,,,,,,,,
                Metamorphoovirus,2733195,,,,,,,,,,,0.08,
                  Blattambidensovirus,2733224,,0.08,,,,,,,,0.1,0.09,
                Alehxovirus,2842364,,,,0.07,,,,,,,,
              Akonivirus,2842540,0.53,0.24,0.36,0.07,0.13,,,,0.2,0.27,0.18,0.29
                Cbunavirus,2842586,,0.24,,,,,,,,,,
